nothing_prob,throw_wind_up_prob,throw_prob,throw_follow_through_prob,swing_wind_up_prob,swing_prob,swing_follow_through_prob
0.982,0.009,0.001,0.006,0.0,0.001,0.001
0.358,0.625,0.001,0.008,0.0,0.002,0.007
0.6,0.353,0.005,0.009,0.003,0.002,0.028
0.735,0.261,0.002,0.001,0.0,0.001,0.001
0.86,0.134,0.002,0.001,0.0,0.0,0.003
0.79,0.102,0.02,0.0,0.0,0.018,0.069
0.504,0.453,0.003,0.003,0.0,0.014,0.023
0.293,0.114,0.192,0.0,0.0,0.056,0.345
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.053,0.198,0.0,0.0,0.095,0.544
0.997,0.0,0.002,0.0,0.0,0.001,0.0
0.734,0.0,0.15,0.0,0.0,0.116,0.0
0.679,0.236,0.0,0.085,0.0,0.0,0.0
0.992,0.0,0.0,0.008,0.0,0.0,0.0
0.999,0.0,0.0,0.0,0.0,0.001,0.0
0.951,0.002,0.0,0.047,0.0,0.0,0.0
0.869,0.012,0.117,0.0,0.0,0.002,0.0
0.881,0.005,0.0,0.113,0.0,0.001,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.988,0.0,0.0,0.012,0.0,0.0,0.0
0.966,0.018,0.016,0.0,0.0,0.0,0.0
0.979,0.003,0.0,0.016,0.0,0.001,0.001
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.843,0.108,0.001,0.047,0.0,0.0,0.0
0.144,0.066,0.737,0.0,0.0,0.052,0.0
0.712,0.001,0.133,0.0,0.0,0.151,0.002
0.977,0.0,0.02,0.0,0.0,0.003,0.0
0.995,0.001,0.003,0.0,0.0,0.0,0.0
0.965,0.0,0.034,0.0,0.0,0.0,0.0
0.416,0.001,0.103,0.001,0.0,0.394,0.085
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.506,0.083,0.066,0.005,0.001,0.042,0.298
0.986,0.0,0.001,0.0,0.0,0.013,0.0
0.999,0.0,0.0,0.0,0.0,0.0,0.0
0.91,0.02,0.018,0.0,0.001,0.011,0.039
0.972,0.013,0.006,0.0,0.0,0.002,0.007
0.87,0.1,0.001,0.025,0.0,0.0,0.004
0.077,0.882,0.032,0.0,0.0,0.008,0.001
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.049,0.193,0.002,0.0,0.021,0.035
0.415,0.569,0.001,0.01,0.0,0.001,0.004
0.998,0.001,0.0,0.0,0.0,0.0,0.001
0.213,0.023,0.384,0.033,0.007,0.263,0.078
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.261,0.037,0.306,0.067,0.003,0.321,0.007
0.996,0.002,0.0,0.0,0.0,0.0,0.002
0.999,0.0,0.0,0.0,0.0,0.0,0.0
0.864,0.018,0.028,0.006,0.014,0.058,0.011
0.951,0.0,0.0,0.0,0.049,0.0,0.0
0.098,0.241,0.46,0.07,0.003,0.115,0.013
0.826,0.128,0.011,0.0,0.0,0.007,0.029
0.946,0.044,0.001,0.0,0.0,0.001,0.009
0.051,0.034,0.201,0.029,0.004,0.616,0.065
0.998,0.001,0.0,0.0,0.0,0.0,0.0
0.965,0.006,0.025,0.0,0.0,0.003,0.001
0.049,0.927,0.002,0.001,0.0,0.007,0.014
0.638,0.244,0.001,0.024,0.0,0.003,0.089
0.483,0.006,0.149,0.008,0.003,0.339,0.013
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.797,0.017,0.036,0.0,0.0,0.045,0.105
0.93,0.007,0.0,0.063,0.0,0.0,0.0
0.539,0.0,0.022,0.0,0.0,0.44,0.0
0.954,0.009,0.0,0.027,0.0,0.0,0.01
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.882,0.0,0.007,0.001,0.0,0.093,0.018
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.829,0.0,0.04,0.0,0.0,0.13,0.0
0.881,0.0,0.0,0.119,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.968,0.0,0.003,0.029,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.998,0.001,0.0,0.001,0.0,0.0,0.0
0.999,0.0,0.0,0.0,0.0,0.001,0.0
0.328,0.033,0.001,0.594,0.0,0.001,0.043
0.999,0.0,0.001,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.847,0.119,0.001,0.02,0.0,0.002,0.01
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.996,0.0,0.0,0.001,0.0,0.0,0.002
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.968,0.002,0.0,0.029,0.0,0.0,0.0
0.986,0.003,0.004,0.001,0.0,0.001,0.004
0.581,0.005,0.038,0.001,0.001,0.371,0.004
0.988,0.003,0.0,0.005,0.0,0.0,0.004
0.999,0.0,0.0,0.0,0.0,0.001,0.0
0.922,0.031,0.001,0.009,0.0,0.008,0.028
0.992,0.001,0.003,0.001,0.0,0.003,0.0
0.492,0.006,0.068,0.0,0.0,0.305,0.129
0.989,0.008,0.001,0.002,0.0,0.0,0.001
0.731,0.035,0.142,0.0,0.0,0.09,0.0
0.013,0.38,0.002,0.001,0.0,0.006,0.598
0.597,0.0,0.107,0.0,0.0,0.294,0.001
0.026,0.97,0.0,0.002,0.0,0.0,0.003
0.995,0.0,0.001,0.0,0.0,0.001,0.003
0.985,0.0,0.0,0.015,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.998,0.0,0.0,0.001,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.985,0.0,0.015,0.0,0.0,0.0,0.0
0.997,0.0,0.0,0.003,0.0,0.0,0.0
0.993,0.0,0.0,0.006,0.0,0.0,0.0
0.997,0.0,0.0,0.003,0.0,0.0,0.0
0.864,0.014,0.001,0.006,0.0,0.001,0.114
0.94,0.0,0.0,0.06,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.512,0.128,0.351,0.0,0.0,0.009,0.0
0.97,0.0,0.0,0.028,0.001,0.002,0.0
0.993,0.0,0.007,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
