time_trame,gyro_x_1,gyro_y_1,gyro_z_1,gyro_x_2,gyro_y_2,gyro_z_2,gyro_x_3,gyro_y_3,gyro_z_3,gyro_x_4,gyro_y_4,gyro_z_4,gyro_x_5,gyro_y_5,gyro_z_5,gyro_x_6,gyro_y_6,gyro_z_6,gyro_x_7,gyro_y_7,gyro_z_7,gyro_x_8,gyro_y_8,gyro_z_8,gyro_x_9,gyro_y_9,gyro_z_9,gyro_x_10,gyro_y_10,gyro_z_10,gyro_x_11,gyro_y_11,gyro_z_11,gyro_x_12,gyro_y_12,gyro_z_12,gyro_x_13,gyro_y_13,gyro_z_13,gyro_x_14,gyro_y_14,gyro_z_14,gyro_x_15,gyro_y_15,gyro_z_15,gyro_x_16,gyro_y_16,gyro_z_16,gyro_x_17,gyro_y_17,gyro_z_17,gyro_x_18,gyro_y_18,gyro_z_18,gyro_x_19,gyro_y_19,gyro_z_19,gyro_x_20,gyro_y_20,gyro_z_20
1728658339000,-17.92,17.92,0,0,17.92,0,0,17.92,0,0,17.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.92,0,0,0,0,0,0,0,0,0,0,0,0,17.92,0,-35.84,0,0,-17.92,17.92,0,-17.92,17.92,-17.92,0,0,0
1728658340000,0,17.92,0,0,0,0,17.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1728658341000,0,0,0,17.92,0,0,17.92,0,0,0,0,0,17.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.92,0,0,17.92,0,0,17.92,0,0
1728658342000,17.92,0,0,0,0,0,0,0,0,-17.92,0,0,-17.92,0,0,-17.92,0,0,0,0,0,-17.92,0,0,-17.92,0,0,0,0,0,0,0,0,17.92,0,0,0,0,0,0,0,-17.92,0,0,0,0,0,0,0,0,0,-17.92,0,0,-17.92,0,0,-17.92,0,0
1728658343000,-17.92,0,0,-17.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1728658344000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.92,0,0,17.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.92,0,0
1728658345000,17.92,0,0,17.92,0,0,0,0,0,17.92,0,0,17.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1728658346000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.92,0,0
1728658347000,17.92,0,0,17.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1728658348000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1728658349000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1728658350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.92,0,0,-17.92,0,-17.92,-17.92,0,-17.92,-35.84,0,-17.92,-35.84,17.92,-17.92,-35.84,17.92,-17.92,-53.76,17.92,-17.92,-53.76,17.92,0,-53.76,17.92,0,-35.84,17.92,0,-35.84,17.92,0,-35.84,17.92,0,-35.84,17.92,0,-35.84,17.92,0
1728658351000,-35.84,17.92,0,-35.84,17.92,0,-35.84,35.84,0,-35.84,35.84,17.92,-35.84,35.84,17.92,-35.84,17.92,17.92,-17.92,17.92,17.92,-17.92,17.92,17.92,-17.92,17.92,17.92,-17.92,0,35.84,-17.92,0,35.84,-17.92,-17.92,35.84,-17.92,-17.92,35.84,-17.92,-17.92,35.84,-17.92,-17.92,35.84,-17.92,-17.92,17.92,-17.92,0,35.84,-17.92,0,35.84,-17.92,0,35.84,-17.92,0,35.84
1728658352000,-17.92,0,35.84,-17.92,0,35.84,-17.92,0,35.84,-35.84,0,35.84,-35.84,0,17.92,-35.84,0,17.92,-35.84,17.92,17.92,-35.84,17.92,35.84,-35.84,0,35.84,-53.76,0,35.84,-53.76,0,35.84,-53.76,0,35.84,-53.76,0,35.84,-53.76,17.92,35.84,-53.76,17.92,35.84,-53.76,17.92,35.84,-53.76,0,35.84,-53.76,0,35.84,-53.76,0,35.84,-53.76,0,35.84
1728658353000,-35.84,0,35.84,-35.84,0,17.92,-35.84,0,17.92,-35.84,0,17.92,-35.84,0,17.92,-53.76,0,17.92,-53.76,17.92,17.92,-53.76,17.92,17.92,-53.76,17.92,0,-53.76,17.92,0,-35.84,17.92,0,-17.92,17.92,0,-17.92,17.92,0,-17.92,17.92,0,-35.84,35.84,0,-35.84,35.84,0,-35.84,53.76,0,-17.92,71.68,17.92,-17.92,71.68,0,0,71.68,0
1728658354000,0,71.68,17.92,0,89.6,17.92,17.92,89.6,17.92,17.92,89.6,17.92,35.84,89.6,17.92,35.84,89.6,0,53.76,107.52,0,53.76,107.52,0,53.76,89.6,0,53.76,89.6,17.92,53.76,89.6,0,35.84,71.68,0,53.76,53.76,0,53.76,35.84,0,35.84,35.84,0,35.84,35.84,0,17.92,17.92,17.92,17.92,17.92,0,0,0,0,0,0,17.92
1728658355000,-17.92,0,0,-17.92,0,0,0,0,0,0,0,0,17.92,0,-17.92,17.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.92,0,0,-17.92,0,-17.92,-17.92,0,-17.92,-17.92,0,-17.92,-17.92,17.92,-17.92,-35.84,17.92,-17.92,-35.84,17.92,-17.92,-35.84,0
